Bioreactor,Day,Date,IGG--STATE_SP,CUMULATIVE_NORMALIZED_FEED--INPUT_REF,IGG--STATE_DATA,VCC--STATE_DATA,VIABILITY--STATE_DATA,LACTATE--STATE_DATA,OSMO--STATE_DATA,PCO2_AT_TEMP--STATE_DATA,CUMULATIVE_NORMALIZED_FEED--INPUT_DATA,TEMPERATURE--INPUT_DATA,PH_SETPOINT--INPUT_DATA,DO--INPUT_DATA,IGG--STATE_PRED,VCC--STATE_PRED,VIABILITY--STATE_PRED,LACTATE--STATE_PRED,OSMO--STATE_PRED,PCO2_AT_TEMP--STATE_PRED,IGG--STATE_EST,VCC--STATE_EST,VIABILITY--STATE_EST,LACTATE--STATE_EST,OSMO--STATE_EST,PCO2_AT_TEMP--STATE_EST,IGG--STATE_MOD,VCC--STATE_MOD,VIABILITY--STATE_MOD,LACTATE--STATE_MOD,OSMO--STATE_MOD,PCO2_AT_TEMP--STATE_MOD
1,0,4/27/2023 11:56,146.51,0,158.35,13.45,98.73,0.94,316,56.9,0,34,7.2,0.5,158.35,13.45,98.73,0.94,316,56.9,158.3211732,13.23229089,98.75552039,1.20425903,315.1445656,54.71771133,1,1,1,1,1,1
1,1,4/28/2023 8:34,509.83,0.0045,,16.33,98.66,2.8,305,34,0.0045,34,7.2,0.5,658.2241313,16.28789606,98.48596357,1.997614265,308.3669816,41.24161941,685.085621,16.53260385,98.52739877,2.239071336,307.2452986,39.78125205,1.000000622,0.99902595,1.000535661,1.010883859,0.997845755,0.987005715
1,2,4/29/2023 7:34,997.91,0.011,929.63,18.63,97.35,3.52,307,27.1,0.012604565,34,7.2,0.5,1286.975856,20.09769075,98.03068293,2.773665104,302.2755431,32.433039,1286.975056,20.117286,97.97819981,2.743801951,302.9281246,32.86003163,,,,,,
1,3,4/30/2023 7:32,1505.08,0.019,,,,,,,0.021027078,33,7.1,0.5,1870.410826,22.50420677,96.99121579,2.832050789,302.5120674,30.53484492,,,,,,,,,,,,
1,4,5/1/2023 9:29,2119.61,0.0295,,,,,,,0.029680628,34,7.2,0.5,2406.439699,23.47881489,95.56383487,2.59288688,305.9674297,31.08885813,,,,,,,,,,,,
1,5,5/2/2023 6:13,2716.05,0.0375,,,,,,,0.038601835,34,7.2,0.5,2909.488266,23.34421028,93.90309513,2.224507854,311.0419616,32.32655545,,,,,,,,,,,,
1,6,5/3/2023 9:13,3307.9,0.051,,,,,,,0.052101835,34,7.2,0.5,3396.824781,22.52017733,92.14300269,1.827284186,316.4949087,33.60175632,,,,,,,,,,,,
1,7,5/4/2023 7:27,3888.32,0.061,,,,,,,0.062101835,34,7.2,0.5,3870.75012,21.27484448,90.36986784,1.449510026,321.663979,34.91202358,,,,,,,,,,,,
1,8,5/5/2023 7:27,4309.7,0.0705,,,,,,,0.071601835,34,7.2,0.5,4335.638095,19.79501652,88.61249972,1.131071175,326.356553,36.22865479,,,,,,,,,,,,
1,9,5/6/2023 7:28,4805.73,0.0795,,,,,,,0.080601835,34,7.2,0.5,4793.234244,18.19325036,86.86875117,0.894605992,330.5911275,37.54454467,,,,,,,,,,,,
1,10,5/7/2023 7:26,5302.42,0.0885,,,,,,,0.089601835,34,7.2,0.5,5242.851373,16.53202432,85.1216718,0.748195983,334.4573638,38.85837979,,,,,,,,,,,,
1,11,5/8/2023 7:08,5791.69,0.097,,,,,,,0.098101835,34,7.2,0.5,5680.055504,14.83395014,83.35229482,0.687374311,338.0367577,40.19638159,,,,,,,,,,,,
1,12,5/9/2023 8:34,6118.18,0.1045,,,,,,,0.105601835,34,7.2,0.5,6083.483443,13.03990776,81.56518007,0.676389074,341.2750436,41.88322298,,,,,,,,,,,,
2,0,4/27/2023 11:56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1,4/28/2023 8:34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2,4/29/2023 7:34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,3,4/30/2023 7:32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,4,5/1/2023 9:29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,5,5/2/2023 6:13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,6,5/3/2023 9:13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,7,5/4/2023 7:27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,8,5/5/2023 7:27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,9,5/6/2023 7:28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,10,5/7/2023 7:26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,11,5/8/2023 7:08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,12,5/9/2023 8:34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
